product,brand,review_text,rating,sentiment,category,date
Navratna Oil,Navratna Oil,"Bahut acha product hai, cooling effect really works during summers. My family has been using it for years.",5,positive,cooling,2024-01-15
Navratna Oil,Navratna Oil,cooling acha hai but smell strong hai. Thoda adjust karna padta hai.,3,mixed,fragrance,2024-01-18
Navratna Oil,Navratna Oil,Packaging leak ho gaya during delivery. Product spilled all over the box. Very disappointed.,2,negative,packaging,2024-01-20
Navratna Oil,Navratna Oil,Best oil for headache relief. Apply karo aur instant ठंडक milti hai. Highly recommended.,5,positive,cooling,2024-01-22
Navratna Oil,Navratna Oil,Hair fall kam hua after regular use for 2 months. Scalp bhi healthy lagti hai.,4,positive,hair_care,2024-01-25
Navratna Oil,Navratna Oil,Price thoda high hai compared to local brands but quality is worth it.,3,mixed,pricing,2024-01-28
Navratna Oil,Navratna Oil,Texture achha hai but price thoda high hai. Will continue buying though.,3,mixed,pricing,2024-02-01
Navratna Oil,Navratna Oil,Bahut sticky feel hota hai. Doesn't absorb well into scalp. Not recommended for daily use.,2,negative,texture,2024-02-03
Navratna Oil,Navratna Oil,My grandmother recommended this oil. Generations of trust. Still the best cooling oil in market.,5,positive,brand_trust,2024-02-05
Navratna Oil,Navratna Oil,Strong herbal fragrance is actually a positive for me. Feels authentic and natural.,4,positive,fragrance,2024-02-08
Navratna Oil,Navratna Oil,Bottle cap is loose and oil keeps spilling. Please fix the packaging issue.,2,negative,packaging,2024-02-10
Navratna Oil,Navratna Oil,Oil ka effect acha hai. Cooling sensation lasts for hours. Perfect for Indian summers.,5,positive,cooling,2024-02-12
Navratna Oil,Navratna Oil,Regular use se dandruff control hua. Very happy with results after 6 weeks.,4,positive,hair_care,2024-02-15
Navratna Oil,Navratna Oil,Smell is too overwhelming for office use. Only use at night now.,3,mixed,fragrance,2024-02-18
Navratna Oil,Navratna Oil,Sabse best cooling oil hai market mein. No competition. 5 stars always.,5,positive,cooling,2024-02-20
Navratna Oil,Navratna Oil,Quantity kam ho gayi but price same hai. Not fair to loyal customers.,2,negative,pricing,2024-02-22
Navratna Oil,Navratna Oil,Great for stress relief. Massaging with this oil before sleep is pure bliss.,5,positive,wellness,2024-02-25
Navratna Oil,Navratna Oil,Average product. Nothing special. Many cheaper alternatives available.,3,mixed,value,2024-02-28
Navratna Oil,Navratna Oil,The new bottle design is better but old formula was more effective I feel.,3,mixed,product_quality,2024-03-01
Navratna Oil,Navratna Oil,Bought for my mother. She loves it. Says it reminds her of her childhood.,5,positive,brand_trust,2024-03-05
Navratna Oil,Navratna Oil,Too oily consistency. Hard to wash off. Leaves hair greasy for entire day.,2,negative,texture,2024-03-08
Navratna Oil,Navratna Oil,Cooling effect is genuine and long lasting. Perfect value for money.,4,positive,cooling,2024-03-10
Navratna Oil,Navratna Oil,Pump bottle variant is much more convenient. Good innovation from Emami.,4,positive,packaging,2024-03-12
Navratna Oil,Navratna Oil,Fragrance is too strong for my liking. Gives me headache sometimes.,2,negative,fragrance,2024-03-15
Navratna Oil,Navratna Oil,Classic Indian hair oil. Nothing beats this for summer use. Trusted brand.,5,positive,brand_trust,2024-03-18
Kesh King Oil,Kesh King Oil,Hair growth has visibly improved after 3 months of use. Really effective product.,5,positive,hair_growth,2024-01-12
Kesh King Oil,Kesh King Oil,Kesh King mein jo ayurvedic ingredients hain woh genuine feel hote hain. Nice product.,4,positive,ingredients,2024-01-15
Kesh King Oil,Kesh King Oil,Expected better results. Hair fall still same after 6 weeks. Disappointed.,2,negative,hair_growth,2024-01-18
Kesh King Oil,Kesh King Oil,"Price is justified given the ingredients. Amla, brahmi all natural goodness.",4,positive,ingredients,2024-01-20
Kesh King Oil,Kesh King Oil,Packaging is very premium. Bottle design looks expensive and trustworthy.,4,positive,packaging,2024-01-25
Kesh King Oil,Kesh King Oil,Smell is pleasant and not too overpowering. Suits daily use well.,4,positive,fragrance,2024-01-28
